Sample_Name,Tube.Label,ID,Species,hapCode,mtDNA_haplo,Genotype,subregion,reefName,reefGroup,x.coord,y.coord,strata
AC-CRF-TV_18,CRF-TAV-018,CRF,Acer,13,palm,U20,Upper Keys,Crocker Reef,Upper B,24.892433,-80.5452333,Upper Keys_CRF_Crocker Reef
AC-CRF-TV_19,CRF-TAV-019,CRF,Acer,10,palm,U21,Upper Keys,Molasses Trench,Upper B,25.00275,-80.4229167,Upper Keys_CRF_Molasses Trench
AC-CRF-TV_1,CRF-TAV-001,CRF,Acer,35,cerv,U1,Upper Keys,Plantation Key Patch Reef,Upper B,24.959033,-80.4907833,Upper Keys_CRF_Plantation Key Patch Reef
AC-CRF-TV_21,CRF-TAV-021,CRF,Acer,12,palm,U23,Upper Keys,Lower Matecumbe,Middle A,24.825433,-80.6511,Upper Keys_CRF_Lower Matecumbe
AC-CRF-TV_22,CRF-TAV-022,CRF,Acer,13,palm,U24,Upper Keys,Lower Matecumbe,Middle A,24.82555,-80.6516167,Upper Keys_CRF_Lower Matecumbe
AC-CRF-TV_23,CRF-TAV-023,CRF,Acer,13,palm,U25,Upper Keys,Lower Matecumbe,Middle A,24.826117,-80.6512333,Upper Keys_CRF_Lower Matecumbe
AC-CRF-TV_24,CRF-TAV-024,CRF,Acer,29,cerv,U26,Upper Keys,Lower Matecumbe,Middle A,24.826117,-80.6512333,Upper Keys_CRF_Lower Matecumbe
AC-CRF-TV_25,CRF-TAV-025,CRF,Acer,28,cerv,U27,Upper Keys,Plantation Key Patch Reef,Upper B,24.957033,-80.4850333,Upper Keys_CRF_Plantation Key Patch Reef
AC-CRF-TV_27,CRF-TAV-027,CRF,Acer,33,cerv,U29,Upper Keys,Tavernier Patch Reef 1,Upper B,24.994767,-80.4294667,Upper Keys_CRF_Tavernier Patch Reef 1
AC-CRF-TV_28,CRF-TAV-028,CRF,Acer,13,palm,U30,Upper Keys,Tavernier Patch Reef 3,Upper B,24.988533,-80.4668,Upper Keys_CRF_Tavernier Patch Reef 3
AC-CRF-TV_29,CRF-TAV-029,CRF,Acer,23,cerv,U31,Upper Keys,Tavernier Patch Reef 3,Upper B,24.989917,-80.45215,Upper Keys_CRF_Tavernier Patch Reef 3
AC-CRF-TV_2,CRF-TAV-002,CRF,Acer,13,palm,U2,Upper Keys,Conch Reef,Upper B,24.947083,-80.4659,Upper Keys_CRF_Conch Reef
AC-CRF-TV_30,CRF-TAV-030,CRF,Acer,38,cerv,U32,Upper Keys,Tavernier Patch Reef 3,Upper B,24.996917,-80.4516833,Upper Keys_CRF_Tavernier Patch Reef 3
AC-CRF-TV_31,CRF-TAV-031,CRF,Acer,13,palm,U33,Upper Keys,Tavernier Patch Reef 3,Upper B,25.003583,-80.4509167,Upper Keys_CRF_Tavernier Patch Reef 3
AC-CRF-TV_32,CRF-TAV-032,CRF,Acer,12,palm,U34,Upper Keys,Tavernier Patch Reef 3,Upper B,25.003067,-80.45085,Upper Keys_CRF_Tavernier Patch Reef 3
AC-CRF-TV_33,CRF-TAV-033,CRF,Acer,5,palm,U35,Upper Keys,Tavernier Patch Reef 3,Upper B,25.00945,-80.4514,Upper Keys_CRF_Tavernier Patch Reef 3
AC-CRF-TV_34,CRF-TAV-034,CRF,Acer,12,palm,U36,Upper Keys,White Bank,Upper B,25.040367,-80.3674167,Upper Keys_CRF_White Bank
AC-CRF-TV_35,CRF-TAV-035,CRF,Acer,35,cerv,U37,Upper Keys,Pickles Reef,Upper B,24.9886,-80.4025667,Upper Keys_CRF_Pickles Reef
AC-CRF-TV_37,CRF-TAV-037,CRF,Acer,27,cerv,U39,Upper Keys,Conch Reef,Upper B,24.9519,-80.4511333,Upper Keys_CRF_Conch Reef
AC-CRF-TV_38,CRF-TAV-038,CRF,Acer,13,palm,U40,Upper Keys,Conch Reef,Upper B,24.935117,-80.4675667,Upper Keys_CRF_Conch Reef
