gen_id,location,treatment,disease_resistance,disease_resistance_se
CK43,Panama,D,0.48779358738949097,0.5871259116499178
CK44,Panama,D,0.31575402033203415,0.609130168082443
CK45,Panama,D,0.5499304607291761,0.5518653648008013
CK46,Panama,D,0.36006231914342834,0.6157545969796536
CK47,Panama,D,0.43082844388256464,0.6078268314461457
CK48,Panama,D,0.3417331883245528,0.6141868989774422
CK49,Panama,D,0.43082844388256464,0.6078268314461457
CK410,Panama,D,0.48779358738949097,0.587125911649918
CK141,Panama,D,0.36006231914342834,0.615754596979653
CK142,Panama,D,0.5120511171164394,0.5748507283443159
CK143,Panama,D,0.4417938809726842,0.6047726194515141
CK144,Panama,D,0.36006231914342834,0.6157545969796527
CK145,Panama,D,0.45297417173908205,0.6011901687204556
CK146,Panama,D,0.43082844388256464,0.6078268314461455
CK147,Panama,D,0.45297417173908205,0.6011901687204563
CK148,Panama,D,0.45297417173908205,0.6011901687204558
CK149,Panama,D,0.4643685294538172,0.5970644269738472
CK1410,Panama,D,0.4643685294538172,0.5970644269738472
Tet1,Panama,D,0.22240545225540856,0.5590162399380585
Tet2,Panama,D,0.43082844388256464,0.6078268314461455
Tet3,Panama,D,0.2763149114511902,0.5945236552068212
Tet4,Panama,D,0.3242151592706825,0.6111552255864385
Tet5,Panama,D,0.3417331883245528,0.614186898977442
Tet6,Panama,D,0.49981983405014696,0.5812864781782195
Tet7,Panama,D,0.36006231914342834,0.6157545969796527
Tet8,Panama,D,0.22240545225540856,0.5590162399380586
Tet9,Panama,D,0.3242151592706825,0.6111552255864383
Tet10,Panama,D,0.38911508279814855,0.6150766709544574
SR1,Panama,D,0.37922043007352346,0.6157284944141594
SR2,Panama,D,0.3792204300735234,0.6157284944141596
SR3,Panama,D,0.26182094696250846,0.5868607884626934
SR4,Panama,D,0.5120511171164394,0.5748507283443158
SR5,Panama,D,0.40954291936965137,0.6124129931864042
SR6,Panama,D,0.5371117883983122,0.5601487513208894
SR7,Panama,D,0.29941382142632683,0.6041390575279759
SR8,Panama,D,0.35079518224672257,0.6151618010900577
SR9,Panama,D,0.5244833989283103,0.5678079398448437
