ID,gen_id,data_origin,species,location,reef,lat,lon,clone_group,disease_resistance
baum_acerv48_SRR7236037,SRR7236037,baum,Ac,Curacao,NA,NA,NA,clone_107,NA
baum_acerv50_SRR7236036,SRR7236036,baum,Ac,Curacao,NA,NA,NA,clone_108,NA
baum_acerv54_SRR7236029,SRR7236029,baum,Ac,Curacao,NA,NA,NA,clone_110,NA
baum_acerv55_SRR7236033,SRR7236033,baum,Ac,Belize,NA,NA,NA,clone_111,NA
baum_acerv60_SRR7236028,SRR7236028,baum,Ac,Belize,NA,NA,NA,clone_113,NA
baum_acerv6_SRR12363324,SRR12363324,baum,Ac,Virgin Islands,NA,NA,NA,clone_115,NA
baum_acerv72_SRR7236022,SRR7236022,baum,Ac,Virgin Islands,NA,NA,NA,clone_116,NA
baum_acerv73_SRR7236021,SRR7236021,baum,Ac,Virgin Islands,NA,NA,NA,clone_117,NA
baum_acerv8_SRR7236031,SRR7236031,baum,Ac,Belize,NA,NA,NA,clone_109,NA
baum_apalm20_SRR12363330,SRR12363330,baum,Apa,Curacao,NA,NA,NA,clone_120,NA
baum_apalm23_SRR12363331,SRR12363331,baum,Apa,Curacao,NA,NA,NA,clone_121,NA
baum_apalm24_SRR12363332,SRR12363332,baum,Apa,Curacao,NA,NA,NA,clone_122,NA
baum_apalm36_SRR7236001,SRR7236001,baum,Apa,Florida,NA,NA,NA,clone_125,NA
baum_apalm66_SRR7236017,SRR7236017,baum,Apa,Belize,NA,NA,NA,clone_142,NA
baum_apalm74_SRR7236020,SRR7236020,baum,Apa,Belize,NA,NA,NA,clone_145,NA
baum_aprol13_SRR12363325,SRR12363325,baum,Apr,Virgin Islands,NA,NA,NA,clone_147,NA
baum_aprol14_SRR12363327,SRR12363327,baum,Apr,Belize,NA,NA,NA,clone_148,NA
baum_aprol15_SRR12363328,SRR12363328,baum,Apr,Belize,NA,NA,NA,clone_149,NA
baum_aprol17_SRR12363326,SRR12363326,baum,Apr,Virgin Islands,NA,NA,NA,clone_150,NA
baum_aprol18_SRR12363329,SRR12363329,baum,Apr,Belize,NA,NA,NA,clone_151,NA
baum_aprol25_SRR12363333,SRR12363333,baum,Apr,Virgin Islands,NA,NA,NA,clone_152,NA
baum_aprol27_SRR12363334,SRR12363334,baum,Apr,Belize,NA,NA,NA,clone_153,NA
baum_aprol28_SRR12363335,SRR12363335,baum,Apr,Belize,NA,NA,NA,clone_154,NA
baum_aprol32_SRR7235977,SRR7235977,baum,Apr,Virgin Islands,NA,NA,NA,clone_155,NA
baum_aprol33_SRR7235978,SRR7235978,baum,Apr,Virgin Islands,NA,NA,NA,clone_157,NA
baum_aprol34_SRR7236000,SRR7236000,baum,Apr,Virgin Islands,NA,NA,NA,clone_158,NA
baum_aprol42_SRR7236004,SRR7236004,baum,Apr,Belize,NA,NA,NA,clone_159,NA
baum_aprol43_SRR7236005,SRR7236005,baum,Apr,Florida,NA,NA,NA,clone_167,NA
baum_aprol44_SRR7236006,SRR7236006,baum,Apr,Belize,NA,NA,NA,clone_161,NA
baum_aprol47_SRR7236038,SRR7236038,baum,Apr,Virgin Islands,NA,NA,NA,clone_162,NA
baum_aprol4_SRR12363322,SRR12363322,baum,Apr,Virgin Islands,NA,NA,NA,clone_163,NA
baum_aprol52_SRR7236035,SRR7236035,baum,Apr,Belize,NA,NA,NA,clone_164,NA
baum_aprol59_SRR7236013,SRR7236013,baum,Apr,Belize,NA,NA,NA,clone_165,NA
baum_aprol61_SRR7236014,SRR7236014,baum,Apr,Belize,NA,NA,NA,clone_166,NA
baum_aprol70_SRR7236026,SRR7236026,baum,Apr,Curacao,NA,NA,NA,clone_169,NA
baum_aprol9_SRR12363323,SRR12363323,baum,Apr,Virgin Islands,NA,NA,NA,clone_170,NA
